Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	Description	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000183305	ENST00000409560	ENSP00000386463	melanoma antigen family A2B [Source:HGNC Symbol;Acc:HGNC:19340]	X	152714586	152718607
ENSG00000183305	ENST00000467743		melanoma antigen family A2B [Source:HGNC Symbol;Acc:HGNC:19340]	X	152714586	152718607
ENSG00000183305	ENST00000331220	ENSP00000333487	melanoma antigen family A2B [Source:HGNC Symbol;Acc:HGNC:19340]	X	152714586	152718607
ENSG00000134590	ENST00000257013	ENSP00000257013	"family with sequence similarity 127, member A [Source:HGNC Symbol;Acc:HGNC:2569]"	X	135032366	135033546
ENSG00000134590	ENST00000495563		"family with sequence similarity 127, member A [Source:HGNC Symbol;Acc:HGNC:2569]"	X	135032366	135033546
ENSG00000134590	ENST00000464369		"family with sequence similarity 127, member A [Source:HGNC Symbol;Acc:HGNC:2569]"	X	135032366	135033546
ENSG00000270052	ENST00000602419			X	151497726	151498354
ENSG00000214915	ENST00000454307			X	151515551	151516245
ENSG00000229733	ENST00000411430			X	123558350	123558584
ENSG00000228466	ENST00000450755		"tubulin, beta 4A class IVa pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:42340]"	X	123561642	123562966
ENSG00000203950	ENST00000518153		"family with sequence similarity 127, member B [Source:HGNC Symbol;Acc:HGNC:24514]"	X	135050932	135052196
ENSG00000203950	ENST00000370775	ENSP00000375267	"family with sequence similarity 127, member B [Source:HGNC Symbol;Acc:HGNC:24514]"	X	135050932	135052196
ENSG00000203950	ENST00000520964		"family with sequence similarity 127, member B [Source:HGNC Symbol;Acc:HGNC:24514]"	X	135050932	135052196
ENSG00000203950	ENST00000522309		"family with sequence similarity 127, member B [Source:HGNC Symbol;Acc:HGNC:24514]"	X	135050932	135052196
ENSG00000126903	ENST00000369649	ENSP00000358663	"solute carrier family 10, member 3 [Source:HGNC Symbol;Acc:HGNC:22979]"	X	154487306	154490690
ENSG00000126903	ENST00000393586	ENSP00000377211	"solute carrier family 10, member 3 [Source:HGNC Symbol;Acc:HGNC:22979]"	X	154487306	154490690
ENSG00000126903	ENST00000393587	ENSP00000377212	"solute carrier family 10, member 3 [Source:HGNC Symbol;Acc:HGNC:22979]"	X	154487306	154490690
ENSG00000126903	ENST00000453912	ENSP00000395702	"solute carrier family 10, member 3 [Source:HGNC Symbol;Acc:HGNC:22979]"	X	154487306	154490690
ENSG00000126903	ENST00000263512	ENSP00000263512	"solute carrier family 10, member 3 [Source:HGNC Symbol;Acc:HGNC:22979]"	X	154487306	154490690
ENSG00000238193	ENST00000434972			X	5305714	5307128
ENSG00000227645	ENST00000438336		ribosomal protein L7 pseudogene 54 [Source:HGNC Symbol;Acc:HGNC:36817]	X	78763226	78763899
ENSG00000228182	ENST00000449028		MT-ND2 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:42126]	X	62843697	62844306
ENSG00000078589	ENST00000461541		"purinergic receptor P2Y, G-protein coupled, 10 [Source:HGNC Symbol;Acc:HGNC:19906]"	X	78945332	78961954
ENSG00000078589	ENST00000475374		"purinergic receptor P2Y, G-protein coupled, 10 [Source:HGNC Symbol;Acc:HGNC:19906]"	X	78945332	78961954
ENSG00000078589	ENST00000171757	ENSP00000171757	"purinergic receptor P2Y, G-protein coupled, 10 [Source:HGNC Symbol;Acc:HGNC:19906]"	X	78945332	78961954
ENSG00000078589	ENST00000544091	ENSP00000443138	"purinergic receptor P2Y, G-protein coupled, 10 [Source:HGNC Symbol;Acc:HGNC:19906]"	X	78945332	78961954
ENSG00000185291	ENST00000331035	ENSP00000327890	"interleukin 3 receptor, alpha (low affinity) [Source:HGNC Symbol;Acc:HGNC:6012]"	X	1336616	1382689
ENSG00000185291	ENST00000432757	ENSP00000414867	"interleukin 3 receptor, alpha (low affinity) [Source:HGNC Symbol;Acc:HGNC:6012]"	X	1336616	1382689
ENSG00000185291	ENST00000381469	ENSP00000370878	"interleukin 3 receptor, alpha (low affinity) [Source:HGNC Symbol;Acc:HGNC:6012]"	X	1336616	1382689
ENSG00000077279	ENST00000358070	ENSP00000350776	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	X	111293780	111412375
ENSG00000077279	ENST00000338081	ENSP00000337697	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	X	111293780	111412375
ENSG00000077279	ENST00000356220	ENSP00000348553	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	X	111293780	111412375
ENSG00000077279	ENST00000488120	ENSP00000419861	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	X	111293780	111412375
ENSG00000077279	ENST00000496551		doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	X	111293780	111412375
ENSG00000077279	ENST00000468911	ENSP00000418811	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	X	111293780	111412375
ENSG00000077279	ENST00000371993	ENSP00000361061	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	X	111293780	111412375
ENSG00000232168	ENST00000416730		"purinergic receptor P2Y, G-protein coupled, 10 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32924]"	X	79084936	79085848
ENSG00000223773	ENST00000431582		CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083]	X	2609348	2657229
ENSG00000223773	ENST00000435581		CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083]	X	2609348	2657229
ENSG00000223773	ENST00000430562		CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083]	X	2609348	2657229
ENSG00000223773	ENST00000527459		CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083]	X	2609348	2657229
ENSG00000223773	ENST00000414513		CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083]	X	2609348	2657229
ENSG00000123570	ENST00000243298	ENSP00000243298	"RAB9B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14090]"	X	103822322	103832228
ENSG00000102003	ENST00000263233	ENSP00000263233	synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]	X	49187804	49200259
ENSG00000102003	ENST00000472598	ENSP00000418387	synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]	X	49187804	49200259
ENSG00000102003	ENST00000376303	ENSP00000365480	synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]	X	49187804	49200259
ENSG00000102003	ENST00000479808	ENSP00000418169	synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]	X	49187804	49200259
ENSG00000102003	ENST00000469389	ENSP00000418987	synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]	X	49187804	49200259
ENSG00000102003	ENST00000466635	ENSP00000420774	synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]	X	49187804	49200259
ENSG00000102003	ENST00000494396		synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]	X	49187804	49200259
ENSG00000102003	ENST00000472737		synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]	X	49187804	49200259
ENSG00000233484	ENST00000447509			X	84403898	84404024
ENSG00000165259	ENST00000297977	ENSP00000297977	highly divergent homeobox [Source:HGNC Symbol;Acc:HGNC:26411]	X	84317874	84502479
ENSG00000165259	ENST00000506585	ENSP00000423670	highly divergent homeobox [Source:HGNC Symbol;Acc:HGNC:26411]	X	84317874	84502479
ENSG00000165259	ENST00000373177	ENSP00000362272	highly divergent homeobox [Source:HGNC Symbol;Acc:HGNC:26411]	X	84317874	84502479
ENSG00000165259	ENST00000472135		highly divergent homeobox [Source:HGNC Symbol;Acc:HGNC:26411]	X	84317874	84502479
ENSG00000165259	ENST00000449553	ENSP00000387790	highly divergent homeobox [Source:HGNC Symbol;Acc:HGNC:26411]	X	84317874	84502479
ENSG00000165259	ENST00000465509		highly divergent homeobox [Source:HGNC Symbol;Acc:HGNC:26411]	X	84317874	84502479
ENSG00000270431	ENST00000605468			X	115659713	115660022
ENSG00000227881	ENST00000435496		argininosuccinate synthetase 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:768]	X	115664895	115666133
ENSG00000234785	ENST00000434365		eukaryotic translation elongation factor 1 gamma pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:44560]	X	115702811	115704120
ENSG00000231787	ENST00000461229			X	103904322	103904754
ENSG00000276298	ENST00000617723			X	103909126	103909449
ENSG00000234345	ENST00000417646			X	103910305	103911352
ENSG00000130985	ENST00000377351	ENSP00000366568	ubiquitin-like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	X	47190861	47215128
ENSG00000130985	ENST00000412206	ENSP00000415033	ubiquitin-like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	X	47190861	47215128
ENSG00000130985	ENST00000427561	ENSP00000397816	ubiquitin-like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	X	47190861	47215128
ENSG00000130985	ENST00000442035	ENSP00000389583	ubiquitin-like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	X	47190861	47215128
ENSG00000130985	ENST00000457753	ENSP00000404796	ubiquitin-like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	X	47190861	47215128
ENSG00000130985	ENST00000335972	ENSP00000338413	ubiquitin-like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	X	47190861	47215128
ENSG00000130985	ENST00000451702	ENSP00000401101	ubiquitin-like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	X	47190861	47215128
ENSG00000130985	ENST00000490869		ubiquitin-like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	X	47190861	47215128
ENSG00000130985	ENST00000377269	ENSP00000366481	ubiquitin-like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	X	47190861	47215128
ENSG00000231066	ENST00000453156		"nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:7929]"	X	14834476	14835319
ENSG00000237341	ENST00000433499		SYP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40571]	X	49198966	49202454
ENSG00000198930	ENST00000370291	ENSP00000359314	chondrosarcoma associated gene 1 [Source:HGNC Symbol;Acc:HGNC:24294]	X	152727484	152733735
ENSG00000198930	ENST00000361211	ENSP00000354898	chondrosarcoma associated gene 1 [Source:HGNC Symbol;Acc:HGNC:24294]	X	152727484	152733735
ENSG00000198930	ENST00000370287	ENSP00000359310	chondrosarcoma associated gene 1 [Source:HGNC Symbol;Acc:HGNC:24294]	X	152727484	152733735
ENSG00000198930	ENST00000452779	ENSP00000396520	chondrosarcoma associated gene 1 [Source:HGNC Symbol;Acc:HGNC:24294]	X	152727484	152733735
ENSG00000126947	ENST00000372829	ENSP00000361917	"armadillo repeat containing, X-linked 1 [Source:HGNC Symbol;Acc:HGNC:18073]"	X	101550531	101554700
ENSG00000126947	ENST00000616751	ENSP00000477961	"armadillo repeat containing, X-linked 1 [Source:HGNC Symbol;Acc:HGNC:18073]"	X	101550531	101554700
ENSG00000147138	ENST00000276077	ENSP00000276077	G protein-coupled receptor 174 [Source:HGNC Symbol;Acc:HGNC:30245]	X	79170972	79172229
ENSG00000080561	ENST00000451923	ENSP00000410730	midline 2 [Source:HGNC Symbol;Acc:HGNC:7096]	X	107825755	107927193
ENSG00000080561	ENST00000262843	ENSP00000262843	midline 2 [Source:HGNC Symbol;Acc:HGNC:7096]	X	107825755	107927193
ENSG00000080561	ENST00000443968	ENSP00000413976	midline 2 [Source:HGNC Symbol;Acc:HGNC:7096]	X	107825755	107927193
ENSG00000080561	ENST00000474517		midline 2 [Source:HGNC Symbol;Acc:HGNC:7096]	X	107825755	107927193
ENSG00000227067	ENST00000448050		developmental pluripotency associated 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32345]	X	103961811	103962279
ENSG00000230312	ENST00000451950			X	103928099	103929017
ENSG00000231728	ENST00000614615			X	103917411	103919548
ENSG00000231728	ENST00000609896			X	103917411	103919548
ENSG00000158427	ENST00000419165	ENSP00000456121	thymosin beta 15B [Source:HGNC Symbol;Acc:HGNC:28612]	X	103918896	103966712
ENSG00000158427	ENST00000455723		thymosin beta 15B [Source:HGNC Symbol;Acc:HGNC:28612]	X	103918896	103966712
ENSG00000158427	ENST00000563257	ENSP00000457524	thymosin beta 15B [Source:HGNC Symbol;Acc:HGNC:28612]	X	103918896	103966712
ENSG00000158427	ENST00000436583	ENSP00000455771	thymosin beta 15B [Source:HGNC Symbol;Acc:HGNC:28612]	X	103918896	103966712
ENSG00000158427	ENST00000569577	ENSP00000457057	thymosin beta 15B [Source:HGNC Symbol;Acc:HGNC:28612]	X	103918896	103966712
ENSG00000158427	ENST00000540220	ENSP00000455371	thymosin beta 15B [Source:HGNC Symbol;Acc:HGNC:28612]	X	103918896	103966712
ENSG00000233535	ENST00000448948			X	13955393	13963904
ENSG00000214107	ENST00000378981	ENSP00000368264	melanoma antigen family B1 [Source:HGNC Symbol;Acc:HGNC:6808]	X	30243730	30252038
ENSG00000214107	ENST00000397548	ENSP00000380681	melanoma antigen family B1 [Source:HGNC Symbol;Acc:HGNC:6808]	X	30243730	30252038
ENSG00000214107	ENST00000397550	ENSP00000380683	melanoma antigen family B1 [Source:HGNC Symbol;Acc:HGNC:6808]	X	30243730	30252038
ENSG00000171433	ENST00000463327		glyoxalase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:33358]	X	48761750	48773648
ENSG00000171433	ENST00000470676		glyoxalase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:33358]	X	48761750	48773648
ENSG00000171433	ENST00000445229	ENSP00000409523	glyoxalase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:33358]	X	48761750	48773648
ENSG00000171433	ENST00000303227	ENSP00000302552	glyoxalase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:33358]	X	48761750	48773648
ENSG00000234050	ENST00000413528			X	102937770	102940561
ENSG00000102128	ENST00000218249	ENSP00000218249	"RAB40A, member RAS oncogene family-like [Source:HGNC Symbol;Acc:HGNC:25410]"	X	102937250	102938962
ENSG00000120289	ENST00000378982	ENSP00000368266	melanoma antigen family B4 [Source:HGNC Symbol;Acc:HGNC:6811]	X	30242052	30244193
ENSG00000124313	ENST00000396435	ENSP00000379712	IQ motif and Sec7 domain 2 [Source:HGNC Symbol;Acc:HGNC:29059]	X	53232876	53321324
ENSG00000124313	ENST00000375365	ENSP00000364514	IQ motif and Sec7 domain 2 [Source:HGNC Symbol;Acc:HGNC:29059]	X	53232876	53321324
ENSG00000124313	ENST00000485377		IQ motif and Sec7 domain 2 [Source:HGNC Symbol;Acc:HGNC:29059]	X	53232876	53321324
ENSG00000124313	ENST00000462054		IQ motif and Sec7 domain 2 [Source:HGNC Symbol;Acc:HGNC:29059]	X	53232876	53321324
ENSG00000124313	ENST00000498281		IQ motif and Sec7 domain 2 [Source:HGNC Symbol;Acc:HGNC:29059]	X	53232876	53321324
ENSG00000230542	ENST00000445785		long intergenic non-protein coding RNA 102 [Source:HGNC Symbol;Acc:HGNC:30470]	X	2612988	2615347
ENSG00000237426	ENST00000456074		zinc finger protein interacting with K protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38031]	X	124173001	124174459
ENSG00000213569	ENST00000399148			X	107131659	107132269
ENSG00000198088	ENST00000372466	ENSP00000361544	nucleoporin 62kDa C-terminal like [Source:HGNC Symbol;Acc:HGNC:25960]	X	107123427	107206433
ENSG00000198088	ENST00000484614	ENSP00000433269	nucleoporin 62kDa C-terminal like [Source:HGNC Symbol;Acc:HGNC:25960]	X	107123427	107206433
ENSG00000198088	ENST00000432145	ENSP00000408612	nucleoporin 62kDa C-terminal like [Source:HGNC Symbol;Acc:HGNC:25960]	X	107123427	107206433
ENSG00000198088	ENST00000421752	ENSP00000405906	nucleoporin 62kDa C-terminal like [Source:HGNC Symbol;Acc:HGNC:25960]	X	107123427	107206433
ENSG00000236064	ENST00000430140			X	107894597	107935980
ENSG00000234564	ENST00000448737		heat shock 70kDa protein 8 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:44936]	X	124204499	124205806
ENSG00000228836	ENST00000487941	ENSP00000427342	"cancer/testis antigen family 45, member A5 [Source:HGNC Symbol;Acc:HGNC:33270]"	X	135777130	135785298
ENSG00000228836	ENST00000617203	ENSP00000483658	"cancer/testis antigen family 45, member A5 [Source:HGNC Symbol;Acc:HGNC:33270]"	X	135777130	135785298
ENSG00000278289	ENST00000620654	ENSP00000479608	"cancer/testis antigen family 45, member A6 [Source:HGNC Symbol;Acc:HGNC:33271]"	X	135794706	135802656
ENSG00000278289	ENST00000612878	ENSP00000483910	"cancer/testis antigen family 45, member A6 [Source:HGNC Symbol;Acc:HGNC:33271]"	X	135794706	135802656
ENSG00000271449	ENST00000612907	ENSP00000483619	"cancer/testis antigen family 45, member A2 [Source:HGNC Symbol;Acc:HGNC:28400]"	X	135811668	135820012
ENSG00000271449	ENST00000605791	ENSP00000474632	"cancer/testis antigen family 45, member A2 [Source:HGNC Symbol;Acc:HGNC:28400]"	X	135811668	135820012
ENSG00000275387	ENST00000618033			X	54842014	54842134
ENSG00000232725	ENST00000434284			X	153735626	153766478
ENSG00000232725	ENST00000416854			X	153735626	153766478
ENSG00000276940	ENST00000622094			X	30290047	30290351
ENSG00000198753	ENST00000361971	ENSP00000355378	plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	X	153764196	153779346
ENSG00000198753	ENST00000411613	ENSP00000391650	plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	X	153764196	153779346
ENSG00000198753	ENST00000482654		plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	X	153764196	153779346
ENSG00000198753	ENST00000455214	ENSP00000396048	plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	X	153764196	153779346
ENSG00000198753	ENST00000485980		plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	X	153764196	153779346
ENSG00000198753	ENST00000448847	ENSP00000412454	plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	X	153764196	153779346
ENSG00000198753	ENST00000469190		plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	X	153764196	153779346
ENSG00000198753	ENST00000472415		plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	X	153764196	153779346
ENSG00000198753	ENST00000538966	ENSP00000442736	plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]	X	153764196	153779346
ENSG00000273696	ENST00000610598	ENSP00000482241	"cancer/testis antigen family 45, member A7 [Source:HGNC Symbol;Acc:HGNC:51260]"	X	135829247	135837268
ENSG00000273696	ENST00000620885	ENSP00000480765	"cancer/testis antigen family 45, member A7 [Source:HGNC Symbol;Acc:HGNC:51260]"	X	135829247	135837268
ENSG00000169891	ENST00000357277	ENSP00000349824	RALBP1 associated Eps domain containing 2 [Source:HGNC Symbol;Acc:HGNC:9963]	X	16946691	17153280
ENSG00000169891	ENST00000303843	ENSP00000306033	RALBP1 associated Eps domain containing 2 [Source:HGNC Symbol;Acc:HGNC:9963]	X	16946691	17153280
ENSG00000169891	ENST00000481792		RALBP1 associated Eps domain containing 2 [Source:HGNC Symbol;Acc:HGNC:9963]	X	16946691	17153280
ENSG00000169891	ENST00000469714		RALBP1 associated Eps domain containing 2 [Source:HGNC Symbol;Acc:HGNC:9963]	X	16946691	17153280
ENSG00000169891	ENST00000470686		RALBP1 associated Eps domain containing 2 [Source:HGNC Symbol;Acc:HGNC:9963]	X	16946691	17153280
ENSG00000169297	ENST00000378970	ENSP00000368253	"nuclear receptor subfamily 0, group B, member 1 [Source:HGNC Symbol;Acc:HGNC:7960]"	X	30304206	30309598
ENSG00000169297	ENST00000378963	ENSP00000368246	"nuclear receptor subfamily 0, group B, member 1 [Source:HGNC Symbol;Acc:HGNC:7960]"	X	30304206	30309598
ENSG00000126012	ENST00000375401	ENSP00000364550	lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000404049	ENSP00000385394	lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000375379	ENSP00000364528	lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000375383	ENSP00000364532	lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000477109		lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000497100		lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000465402		lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000481369		lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000497995		lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000429877	ENSP00000409757	lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000495519		lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000467093		lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000428012	ENSP00000407277	lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000349663	ENSP00000344004	lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000126012	ENST00000452825	ENSP00000445176	lysine (K)-specific demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	X	53191321	53225422
ENSG00000268066	ENST00000594922		FMR1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39081]	X	147909431	147911817
ENSG00000268066	ENST00000596112		FMR1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39081]	X	147909431	147911817
ENSG00000268066	ENST00000601841		FMR1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39081]	X	147909431	147911817
ENSG00000268066	ENST00000598667		FMR1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39081]	X	147909431	147911817
ENSG00000212663	ENST00000391359			X	13980066	13988820
ENSG00000225238	ENST00000451718			X	41472264	41472653
ENSG00000232412	ENST00000426367			X	123959233	123961341
ENSG00000185915	ENST00000379499	ENSP00000368813	kelch-like family member 34 [Source:HGNC Symbol;Acc:HGNC:26634]	X	21654690	21658330
ENSG00000188937	ENST00000342595	ENSP00000340328	nyctalopin [Source:HGNC Symbol;Acc:HGNC:8082]	X	41447434	41475710
ENSG00000188937	ENST00000378220	ENSP00000367465	nyctalopin [Source:HGNC Symbol;Acc:HGNC:8082]	X	41447434	41475710
ENSG00000188937	ENST00000486842		nyctalopin [Source:HGNC Symbol;Acc:HGNC:8082]	X	41447434	41475710
ENSG00000147234	ENST00000439554	ENSP00000398668	FERM and PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29382]	X	107522450	107605251
ENSG00000147234	ENST00000477796		FERM and PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29382]	X	107522450	107605251
ENSG00000147234	ENST00000276185	ENSP00000276185	FERM and PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29382]	X	107522450	107605251
ENSG00000231913	ENST00000457739		retinoic acid receptor responder (tazarotene induced) 2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:48702]	X	21421822	21422294
ENSG00000224632	ENST00000423690			X	103007461	103008072
ENSG00000237671	ENST00000420398	ENSP00000397103	G antigen 12C [Source:HGNC Symbol;Acc:HGNC:28402]	X	49532211	49539538
ENSG00000101938	ENST00000372045	ENSP00000361115	chordin-like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	X	110673856	110795819
ENSG00000101938	ENST00000394797	ENSP00000378276	chordin-like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	X	110673856	110795819
ENSG00000101938	ENST00000372042	ENSP00000361112	chordin-like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	X	110673856	110795819
ENSG00000101938	ENST00000482160	ENSP00000418443	chordin-like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	X	110673856	110795819
ENSG00000101938	ENST00000444321	ENSP00000399739	chordin-like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	X	110673856	110795819
ENSG00000133169	ENST00000372728	ENSP00000361813	"brain expressed, X-linked 1 [Source:HGNC Symbol;Acc:HGNC:1036]"	X	103062651	103064240
ENSG00000198173	ENST00000358047	ENSP00000367913	"family with sequence similarity 47, member C [Source:HGNC Symbol;Acc:HGNC:25301]"	X	37008397	37011666
ENSG00000243048	ENST00000412071		"ferritin, heavy polypeptide 1 pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:3988]"	X	37043023	37043571
ENSG00000132446	ENST00000359202	ENSP00000368207	"ferritin, heavy polypeptide-like 17 [Source:HGNC Symbol;Acc:HGNC:3987]"	X	31071241	31072053
ENSG00000230956	ENST00000449217			X	88096393	88097225
ENSG00000271693	ENST00000603096			X	88369343	88369459
ENSG00000234390	ENST00000437322		USP27X antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:27249]	X	49876724	49879241
ENSG00000204915	ENST00000377927			X	45730752	45731688
ENSG00000147183	ENST00000276127	ENSP00000276127	"CPX chromosome region, candidate 1 [Source:HGNC Symbol;Acc:HGNC:2332]"	X	88747225	88754785
ENSG00000147183	ENST00000373111	ENSP00000362203	"CPX chromosome region, candidate 1 [Source:HGNC Symbol;Acc:HGNC:2332]"	X	88747225	88754785
ENSG00000147183	ENST00000614120	ENSP00000484986	"CPX chromosome region, candidate 1 [Source:HGNC Symbol;Acc:HGNC:2332]"	X	88747225	88754785
ENSG00000227610	ENST00000415252		FRMPD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41239]	X	107512983	107545821
ENSG00000213018	ENST00000391782			X	71420083	71420514
ENSG00000133142	ENST00000372629	ENSP00000361712	transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:HGNC:26121]	X	103576231	103587736
ENSG00000133142	ENST00000468024	ENSP00000421857	transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:HGNC:26121]	X	103576231	103587736
ENSG00000133142	ENST00000481555		transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:HGNC:26121]	X	103576231	103587736
ENSG00000133142	ENST00000472484	ENSP00000421156	transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:HGNC:26121]	X	103576231	103587736
ENSG00000133142	ENST00000415568	ENSP00000415564	transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:HGNC:26121]	X	103576231	103587736
ENSG00000133142	ENST00000490644	ENSP00000425883	transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:HGNC:26121]	X	103576231	103587736
ENSG00000133142	ENST00000459722	ENSP00000423723	transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:HGNC:26121]	X	103576231	103587736
ENSG00000133142	ENST00000472745	ENSP00000424314	transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:HGNC:26121]	X	103576231	103587736
